タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
佐久間新平,佐久間新平,伝説,延岡市,延岡市,,,,,,佐久間新平,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
若先生のためし斬り,若先生のためし斬り,伝説,延岡市,延岡市,,,,,,若先生のためし斬り,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
小野萬衛門欄干の外渡り,小野萬衛門欄干の外渡り,伝説,延岡市,延岡市,,,,,,小野萬衛門欄干の外渡り,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
孫兵衛橋孫兵衛水道,孫兵衛橋孫兵衛水道,伝説,延岡市,延岡市,,,,,,孫兵衛橋孫兵衛水道,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
八幡神社の石段,はちまんじんじゃのいしだん,伝説,延岡市,延岡市,,,,,,八幡神社の石段,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
次男坊の発明家,次男坊の発明家,伝説,延岡市,延岡市,,,,,,次男坊の発明家,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
神谷豪傑河童の夜襲に会ふ,神谷豪傑河童の夜襲に会ふ,伝説,延岡市,延岡市,,,,,,神谷豪傑河童の夜襲に会ふ,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
愛吉少年河童を釣る,愛吉少年河童を釣る,伝説,延岡市,延岡市,河童、,,,,,愛吉少年河童を釣る,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
三ツ瀬の池、藪下の池,三ツ瀬の池、藪下の池,伝説,延岡市,延岡市,,,,,,三ツ瀬の池、藪下の池,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
「をさ」火の奇怪,「をさ」火の奇怪,伝説,延岡市,延岡市,,,,,,「をさ」火の奇怪,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
白井市兵衛,白井市兵衛,伝説,延岡市,延岡市,,,,,,白井市兵衛,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
ドモ喰いの下男,ドモ喰いの下男,伝説,延岡市,延岡市,,,,,,ドモ喰いの下男,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
ひよすぼ勘,ひよすぼ勘,伝説,延岡市,延岡市,河童、,,,,,ひよすぼ勘,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
延岡の大火,延岡の大火,伝説,延岡市,延岡市,,,,,,延岡の大火,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
粟取り医者と黒がね岩,あわどりいしゃとくろがねいわ,伝説,延岡市,延岡市,,,,,,粟取り医者と黒がね岩,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
三好軍平と停学処分,三好軍平と停学処分,伝説,延岡市,延岡市,,,,,,三好軍平と停学処分,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
鈴吉少年正成公の古智を学ぶ,鈴吉少年正成公の古智を学ぶ,伝説,延岡市,延岡市,,,,,,鈴吉少年正成公の古智を学ぶ,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
出北の用水,出北の用水,伝説,延岡市,延岡市,,,,,,出北の用水,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
澤村神社と澤村家,澤村神社と澤村家,伝説,延岡市,延岡市,,,,,,澤村神社と澤村家,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
ドンク石,ドンク石,伝説,延岡市,延岡市,,,,,,ドンク石,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
春日神社の龍切り,春日神社の龍切り,伝説,延岡市,延岡市,,,,,,春日神社の龍切り,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
綱切神楽を見る,綱切神楽を見る,伝説,延岡市,延岡市,,,,,,綱切神楽を見る,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
学校騒動,学校騒動,伝説,延岡市,延岡市,,,,,,学校騒動,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
臼太鼓と長崎屋,臼太鼓と長崎屋,伝説,延岡市,延岡市,,,,,,臼太鼓と長崎屋,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
鈴木先生と其生徒,すずきせんせいとそのせいと,伝説,延岡市,延岡市,,,,,,鈴木先生と其生徒,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
長野義虎とヒリツピン事件,長野義虎とヒリツピン事件,伝説,延岡市,延岡市,,,,,,長野義虎とヒリツピン事件,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
サンヤエ、ヨイトコセ,サンヤエ、ヨイトコセ,伝説,延岡市,延岡市,,,,,,サンヤエ、ヨイトコセ,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
城山の鐘,城山の鐘,伝説,延岡市,延岡市,,,,,,城山の鐘,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
内田先生と鈴木孫八,内田先生と鈴木孫八,伝説,延岡市,延岡市,,,,,,内田先生と鈴木孫八,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
石上一介,石上一介,伝説,延岡市,延岡市,,,,,,石上一介,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
元吉先生,元吉先生,伝説,延岡市,延岡市,,,,,,元吉先生,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
金剛院貞裕,金剛院貞裕,伝説,延岡市,延岡市,,,,,,金剛院貞裕,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
,,伝説,,,,,,,,一　日向の傳說序編,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
